
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/

 :: Spring Boot ::                (v3.5.3)

2025-10-07T12:49:46.224Z  INFO 34686 --- [inca-fit] [           main] com.incafit.IncaFitApplication           : Starting IncaFitApplication v0.0.1-SNAPSHOT using Java 21.0.8 with PID 34686 (/app/target/inca-fit-0.0.1-SNAPSHOT.jar started by jules in /app)
2025-10-07T12:49:46.227Z DEBUG 34686 --- [inca-fit] [           main] com.incafit.IncaFitApplication           : Running with Spring Boot v3.5.3, Spring v6.2.8
2025-10-07T12:49:46.228Z  INFO 34686 --- [inca-fit] [           main] com.incafit.IncaFitApplication           : No active profile set, falling back to 1 default profile: "default"
2025-10-07T12:49:47.700Z  INFO 34686 --- [inca-fit] [           main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-10-07T12:49:47.811Z  INFO 34686 --- [inca-fit] [           main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 99 ms. Found 8 JPA repository interfaces.
2025-10-07T12:49:48.646Z  INFO 34686 --- [inca-fit] [           main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 8080 (http)
2025-10-07T12:49:48.676Z  INFO 34686 --- [inca-fit] [           main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2025-10-07T12:49:48.676Z  INFO 34686 --- [inca-fit] [           main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.42]
2025-10-07T12:49:48.722Z  INFO 34686 --- [inca-fit] [           main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2025-10-07T12:49:48.724Z  INFO 34686 --- [inca-fit] [           main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 2364 ms
2025-10-07T12:49:48.922Z DEBUG 34686 --- [inca-fit] [           main] j.LocalContainerEntityManagerFactoryBean : Building JPA container EntityManagerFactory for persistence unit 'default'
2025-10-07T12:49:48.953Z  INFO 34686 --- [inca-fit] [           main] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2025-10-07T12:49:49.034Z  INFO 34686 --- [inca-fit] [           main] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 6.6.18.Final
2025-10-07T12:49:49.073Z  INFO 34686 --- [inca-fit] [           main] o.h.c.internal.RegionFactoryInitiator    : HHH000026: Second-level cache disabled
2025-10-07T12:49:49.197Z DEBUG 34686 --- [inca-fit] [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration boolean -> org.hibernate.type.BasicTypeReference@64656b9e
2025-10-07T12:49:49.197Z DEBUG 34686 --- [inca-fit] [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration boolean -> org.hibernate.type.BasicTypeReference@64656b9e
